CRIMHIST,DISTRICT,MONSEX,NEWCIT,NEWEDUC,NEWRACE,OFFTYPSB,TOTPRISN,AGE
1,52,0,0,1,3,10,60,39
1,52,0,1,1,3,27,12,34
1,70,0,0,3,2,18,30,32
0,31,0,1,3,3,10,44,36
0,31,1,0,6,3,18,24,48
1,39,1,0,5,1,10,165,37
1,47,0,0,3,2,10,145,45
1,49,0,0,3,1,19,27,46
1,49,0,0,1,1,13,27,27
1,47,1,0,5,2,22,9,40
1,86,0,0,3,1,13,190,37
1,69,0,0,3,2,18,0,23
1,49,0,0,1,2,13,24,33
1,41,0,1,1,3,10,18,23
0,5,0,0,5,1,35,37,42
1,41,0,0,3,3,10,120,40
1,42,0,1,1,3,27,0,45
1,42,0,1,1,3,27,9,54
1,42,0,1,1,3,27,0,32
1,84,0,1,1,3,27,0,36
1,42,0,1,1,3,27,0,34
1,69,0,0,1,6,13,46,40
1,84,0,1,1,3,27,3,22
1,84,0,1,1,3,27,4,50
1,74,0,0,3,1,10,123,55
1,66,0,0,3,2,18,49,31
1,95,1,0,3,1,10,22,51
0,30,0,0,3,3,27,0,33
1,30,0,0,3,2,18,6,56
,22,1,1,,1,17,0,43
1,49,1,0,3,1,13,12,23
1,51,0,0,1,2,13,72,36
1,46,0,0,3,2,10,160,44
1,66,0,0,3,2,10,84,22
1,22,0,1,6,1,22,10,31
1,31,0,0,6,3,10,46,25
1,58,0,0,1,2,13,51,49
1,51,0,0,3,6,10,70,40
1,51,0,0,1,2,10,37,36
0,31,0,0,6,3,18,36,54
0,49,0,0,3,1,10,24,39
1,31,0,0,5,2,18,145,34
0,61,0,0,5,2,28,50,22
,22,0,0,,2,35,0,20
1,41,0,1,1,3,27,11,44
1,66,0,0,1,2,35,9,30
0,22,0,0,6,1,28,60,55
0,53,0,0,3,1,28,180,22
1,84,0,1,1,3,27,2,37
1,65,0,1,3,3,27,7,32
1,40,0,0,5,1,28,60,21
1,29,0,0,1,1,5,151,38
0,36,1,1,1,3,28,60,33
1,41,0,1,1,3,27,29,50
0,30,1,1,5,2,18,24,37
1,84,0,1,1,3,27,1,36
0,15,0,0,6,1,18,0,50
1,53,0,0,3,2,10,168,43
1,31,0,0,3,2,10,57,25
1,49,0,0,5,1,10,110,40
1,25,0,0,6,1,10,15,34
1,43,0,0,3,2,13,33,20
0,61,0,0,3,1,28,75,21
1,54,0,1,1,6,18,31,49
1,65,0,0,5,1,10,95,32
1,65,0,0,3,2,13,37,25
1,65,0,0,1,2,13,77,22
0,73,0,0,5,1,19,0,56
0,23,0,0,6,1,17,24,38
1,15,1,0,3,1,18,0,46
1,39,0,0,3,3,28,180,24
1,22,0,1,1,3,27,30,30
1,74,0,1,1,3,27,15,33
1,74,0,1,1,3,27,8,27
1,42,0,1,,3,27,0,26
1,53,1,0,5,1,18,6,37
1,41,0,0,1,1,30,36,49
1,84,1,0,1,3,27,0,43
1,42,0,1,,3,27,6,26
1,66,0,0,3,1,6,90,31
1,42,0,1,1,3,27,37,58
1,80,1,0,1,1,18,18,46
1,84,0,1,1,3,27,46,33
1,38,0,0,5,1,30,0,31
1,80,0,0,3,1,18,0,27
1,80,0,0,3,1,13,48,47
0,65,0,0,5,1,28,57,30
1,39,0,0,1,3,28,60,23
1,80,1,0,5,1,18,0,37
1,39,0,0,3,1,28,24,43
1,84,0,1,1,3,27,0,32
1,84,0,1,1,3,27,4,30
1,39,0,0,3,3,13,87,33
1,54,1,0,3,1,10,72,21
1,70,0,1,1,3,10,27,30
1,70,0,1,1,3,27,6,45
1,84,0,1,1,3,27,3,26
1,84,0,1,1,3,27,37,23
1,0,0,0,5,1,18,0,49
1,61,0,0,3,1,13,217,52
1,71,0,1,5,3,10,120,41
1,70,0,1,1,3,27,21,49
0,0,0,0,6,1,18,48,82
1,54,0,0,3,2,10,100,41
1,55,0,1,5,3,10,60,51
1,41,,1,,,27,6,34
1,84,0,0,3,3,27,0,22
,70,1,0,,6,12,0,33
1,70,0,1,1,3,27,51,50
1,70,0,1,1,3,27,0,26
1,70,0,0,3,3,10,18,30
1,30,0,0,5,1,28,12,32
1,70,0,0,3,3,10,37,31
1,89,0,0,3,1,12,1,23
1,84,0,1,3,3,27,1,42
1,89,0,0,3,6,28,18,25
1,42,0,1,1,3,27,7,35
0,74,0,1,5,3,10,30,33
,70,0,0,,1,13,0,72
1,84,0,1,1,3,27,1,34
1,84,0,1,3,3,10,5,20
1,84,0,1,1,3,27,4,45
1,66,0,0,3,2,13,120,45
1,49,0,0,3,1,18,27,49
1,84,0,1,,3,27,0,31
1,84,0,1,1,3,27,0,23
0,89,0,0,6,1,22,0,67
1,3,1,0,3,1,4,0,21
1,2,0,0,3,1,24,120,35
1,22,0,0,3,2,10,84,33
1,40,0,1,1,3,27,33,53
1,84,0,1,1,3,27,3,26
1,84,0,1,3,3,27,0,23
1,84,0,1,1,3,27,1,25
1,70,0,0,3,6,5,0,23
1,53,0,1,1,3,10,60,26
1,84,0,1,1,3,27,33,44
1,69,0,0,3,2,18,25,21
1,81,1,0,5,1,17,1,52
1,74,0,0,3,3,10,60,43
1,84,0,1,1,3,27,1,25
1,70,0,1,1,3,27,18,23
0,73,1,1,5,1,18,12,47
1,73,0,1,1,3,10,36,50
1,70,0,1,1,3,10,13,21
1,73,0,0,1,3,10,168,33
1,19,0,0,3,1,18,0,43
0,19,0,0,6,1,18,0,64
0,70,0,1,5,3,10,13,24
0,48,1,0,5,1,30,3,48
1,31,0,1,1,2,18,13,36
