POOFFICE,TOTPRISN,TIMSERVM,TIMSERVD,TOTDAYS,SENTIMP,MONRACE,MONSEX,NEWEDUC,NEWRACE,OFFTYPSB,NEWCIT,AGE,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,HISPORIG
5,0,0,1,0,2,2,0,3,2,18,0,23,1,211,1,69,1
1,24,0,0,0,1,2,0,1,2,13,0,33,1,211,1,49,1
1,18,0,0,0,1,1,0,1,3,10,1,23,3,49,1,41,2
3,37,0,0,0,1,1,0,5,1,35,0,42,1,211,0,5,1
1,120,0,0,0,1,1,0,3,3,10,0,40,1,211,1,41,2
3,0,4,1,0,1,1,0,1,3,27,1,45,3,49,1,42,2
3,9,0,0,0,1,1,0,1,3,27,1,54,3,49,1,42,2
3,0,4,4,0,1,1,0,1,3,27,1,32,3,49,1,42,2
1,0,0,0,19,1,1,0,1,3,27,1,36,3,49,1,84,2
3,0,4,23,0,1,1,0,1,3,27,1,34,3,49,1,42,2
5,46,0,0,0,1,3,0,1,6,13,0,40,1,211,1,69,1
2,3,0,0,0,1,1,0,1,3,27,1,22,3,49,1,84,2
1,4,0,0,0,1,1,0,1,3,27,1,50,3,49,1,84,2
3,123,0,0,0,1,1,0,3,1,10,0,55,1,211,1,74,1
4,49,0,0,0,1,2,0,3,2,18,0,31,1,211,1,66,0
3,22,0,0,0,1,1,1,3,1,10,0,51,1,211,1,95,1
8,0,0,0,0,3,1,0,3,3,27,0,33,1,211,0,30,2
8,6,0,0,0,2,2,0,3,2,18,0,56,1,211,1,30,1
2,0,0,0,0,4,1,1,1,1,17,1,43,2,49,1,22,1
3,12,0,0,1,1,1,1,3,1,13,0,23,1,211,1,49,1
2,72,0,0,0,1,2,0,1,2,13,0,36,1,211,1,51,1
1,160,0,0,0,1,2,0,3,2,10,0,44,1,211,1,46,1
4,84,0,0,0,1,2,0,3,2,10,0,22,1,211,1,66,0
2,10,0,0,0,2,1,0,6,1,22,1,31,3,87,1,22,1
3,46,0,0,0,1,2,0,6,3,10,0,25,1,211,1,31,2
3,51,0,0,0,1,2,0,1,2,13,0,49,1,211,1,58,1
2,70,0,0,0,1,7,0,3,6,10,0,40,1,211,1,51,1
2,37,0,0,0,1,2,0,1,2,10,0,36,1,211,1,51,1
3,36,0,0,0,1,1,0,6,3,18,0,54,1,211,0,31,2
3,24,0,0,0,1,1,0,3,1,10,0,39,1,211,0,49,1
3,145,0,0,0,1,2,0,5,2,18,0,34,1,211,1,31,1
2,50,0,0,0,1,2,0,5,2,28,0,22,1,211,0,61,1
2,0,0,0,0,0,2,0,5,2,35,0,20,1,211,1,22,1
4,11,0,0,0,1,1,0,1,3,27,1,44,3,49,1,41,2
4,9,0,0,0,1,2,0,1,2,35,0,30,1,211,1,66,0
1,180,0,0,0,1,1,0,3,1,28,0,22,1,211,0,53,1
1,2,0,0,7,1,1,0,1,3,27,1,37,3,49,1,84,2
4,7,0,0,0,1,1,0,3,3,27,1,32,3,49,1,65,2
6,60,0,0,0,1,1,0,5,1,28,0,21,1,211,1,40,1
3,151,0,0,0,1,1,0,1,1,5,0,38,1,211,1,29,1
6,60,0,0,0,1,4,1,1,3,28,1,33,2,55,0,36,2
4,29,0,0,0,1,1,0,1,3,27,1,50,3,49,1,41,2
8,24,0,0,0,1,2,1,5,2,18,1,37,3,45,0,30,1
1,1,0,0,20,1,1,0,1,3,27,1,36,3,49,1,84,2
2,0,0,0,0,4,1,0,6,1,18,0,50,1,211,0,15,1
1,168,0,0,0,1,2,0,3,2,10,0,43,1,211,1,53,1
3,57,0,0,0,1,2,0,3,2,10,0,25,1,211,1,31,1
3,110,0,0,0,1,1,0,5,1,10,0,40,1,211,1,49,1
2,15,0,0,0,1,1,0,6,1,10,0,34,1,211,1,25,1
5,33,0,0,0,1,2,0,3,2,13,0,20,1,211,1,43,1
2,75,0,0,0,1,1,0,3,1,28,0,21,1,211,0,61,1
3,31,0,0,0,1,4,0,1,6,18,1,49,3,27,1,54,1
4,95,0,0,0,1,1,0,5,1,10,0,32,1,211,1,65,1
1,37,0,0,0,1,2,0,3,2,13,0,25,1,211,1,65,1
4,77,0,0,0,1,2,0,1,2,13,0,22,1,211,1,65,1
2,0,0,0,0,4,1,0,5,1,19,0,56,1,211,0,73,1
1,24,0,0,0,1,1,0,6,1,17,0,38,1,211,0,23,1
2,0,0,0,0,4,1,1,3,1,18,0,46,1,211,1,15,1
5,180,0,0,0,1,1,0,3,3,28,0,24,1,211,1,39,2
2,30,0,0,0,1,1,0,1,3,27,1,30,2,32,1,22,2
1,15,0,0,0,1,1,0,1,3,27,1,33,3,49,1,74,2
3,8,0,0,0,1,1,0,1,3,27,1,27,3,49,1,74,2
3,0,0,0,0,4,1,0,6,3,27,1,26,3,49,1,42,2
1,6,0,0,0,1,1,1,5,1,18,0,37,1,211,1,53,1
4,36,0,0,0,1,1,0,1,1,30,0,49,1,211,1,41,1
2,0,0,0,12,1,1,1,1,3,27,0,43,1,211,1,84,2
5,6,0,0,0,1,1,0,5,3,27,1,26,3,49,1,42,2
4,90,0,0,0,1,1,0,3,1,6,0,31,1,211,1,66,0
3,37,0,0,0,1,1,0,1,3,27,1,58,3,49,1,42,2
2,18,0,0,0,1,1,1,1,1,18,0,46,1,211,1,80,1
2,46,0,0,0,1,1,0,1,3,27,1,33,3,49,1,84,2
3,0,0,0,0,4,1,0,5,1,30,0,31,1,211,1,38,1
2,0,0,1,0,1,1,0,3,1,18,0,27,1,211,1,80,1
2,48,0,0,0,1,1,0,3,1,13,0,47,1,211,1,80,1
4,57,0,0,0,1,1,0,5,1,28,0,30,1,211,0,65,1
3,60,0,0,0,1,1,0,1,3,28,0,23,1,211,1,39,2
2,0,2,0,0,2,1,1,5,1,18,0,37,1,211,1,80,1
3,24,0,0,0,1,1,0,3,1,28,0,43,1,211,1,39,1
1,0,0,0,25,1,1,0,1,3,27,1,32,3,40,1,84,2
2,4,0,0,0,1,1,0,1,3,27,1,30,3,49,1,84,2
3,87,0,0,0,1,1,0,3,3,13,0,33,1,211,1,39,2
3,72,0,0,0,1,1,1,3,1,10,0,21,1,211,1,54,1
2,27,0,0,0,1,1,0,1,3,10,1,30,3,49,1,70,2
2,6,0,0,0,1,1,0,1,3,27,1,45,3,49,1,70,2
1,3,0,0,5,1,1,0,1,3,27,1,26,3,49,1,84,2
1,37,0,0,0,1,1,0,1,3,27,1,23,3,49,1,84,2
2,0,0,0,0,4,1,0,5,1,18,0,49,1,211,1,0,1
2,217,0,0,0,1,1,0,3,1,13,0,52,1,211,1,61,1
3,120,0,0,0,1,1,0,5,3,10,1,41,3,49,1,71,2
2,21,0,0,0,1,1,0,1,3,27,1,49,3,49,1,70,2
2,48,0,0,0,1,1,0,6,1,18,0,82,1,211,0,0,1
3,100,0,0,0,1,2,0,3,2,10,0,41,1,211,1,54,1
1,60,0,0,0,1,1,0,5,3,10,1,51,3,49,1,55,2
4,6,0,0,0,1,8,0,3,2,27,1,34,3,211,1,41,0
1,0,0,0,0,3,1,0,3,3,27,0,22,1,211,1,84,2
2,0,0,0,0,4,3,1,3,6,12,0,33,1,211,0,70,1
2,51,0,0,0,1,1,0,1,3,27,1,50,3,49,1,70,2
2,0,4,18,0,1,1,0,1,3,27,1,26,3,49,1,70,2
2,18,0,0,0,1,1,0,3,3,10,0,30,1,211,1,70,2
6,12,0,0,1,2,1,0,5,1,28,0,32,1,211,1,30,1
4,37,0,0,0,1,1,0,3,3,10,0,31,1,211,1,70,2
2,1,0,0,15,1,1,0,3,1,12,0,23,1,211,1,89,1
1,1,0,0,15,1,1,0,3,3,27,1,42,3,68,1,84,2
1,18,0,0,0,1,3,0,3,6,28,0,25,1,211,1,89,1
2,7,0,0,0,1,1,0,1,3,27,1,35,3,49,1,42,2
3,30,0,0,0,1,1,0,5,3,10,1,33,3,49,0,74,2
2,0,0,0,0,4,1,0,1,1,13,0,72,1,211,1,70,1
1,1,0,0,6,1,1,0,1,3,27,1,34,3,37,1,84,2
1,5,0,0,0,1,1,0,3,3,10,1,20,3,49,1,84,2
1,4,0,0,8,1,1,0,1,3,27,1,45,3,49,1,84,2
4,120,0,0,0,1,2,0,3,2,13,0,45,1,211,1,66,0
3,27,0,0,0,1,1,0,3,1,18,0,49,1,211,1,49,1
1,0,0,0,29,1,1,0,1,3,27,1,31,3,49,1,84,2
2,0,0,38,0,1,1,0,1,3,27,1,23,3,49,1,84,2
2,0,0,0,0,4,1,0,6,1,22,0,67,1,211,0,89,1
1,0,0,0,0,4,1,1,3,1,4,0,21,1,211,1,3,1
1,120,0,0,0,1,1,0,3,1,24,0,35,1,211,1,2,1
4,84,0,0,0,1,2,0,3,2,10,0,33,1,211,1,22,1
6,33,0,0,0,1,1,0,1,3,27,1,53,3,49,1,40,2
1,3,0,0,0,1,1,0,1,3,27,1,26,3,49,1,84,2
1,0,0,26,0,1,1,0,3,3,27,1,23,3,49,1,84,2
1,1,0,0,18,1,1,0,1,3,27,1,25,3,32,1,84,2
2,0,0,0,0,3,3,0,3,6,5,0,23,1,211,1,70,1
1,60,0,0,0,1,1,0,1,3,10,1,26,3,49,1,53,2
1,33,0,0,0,1,1,0,1,3,27,1,44,3,49,1,84,2
5,25,0,0,0,1,2,0,3,2,18,0,21,1,211,1,69,1
2,1,0,0,0,1,1,1,5,1,17,0,52,1,211,1,81,1
1,60,0,0,0,1,1,0,3,3,10,0,43,1,211,1,74,2
1,1,0,0,8,1,1,0,1,3,27,1,25,3,49,1,84,2
2,18,0,0,0,1,1,0,1,3,27,1,23,3,49,1,70,2
2,12,0,0,1,1,1,1,5,1,18,1,47,5,113,0,73,1
2,36,0,0,0,1,1,0,1,3,10,1,50,2,49,1,73,2
2,13,0,0,1,1,1,0,1,3,10,1,21,3,49,1,70,2
2,168,0,0,0,1,1,0,1,3,10,0,33,1,211,1,73,2
3,0,0,0,0,4,1,0,3,1,18,0,43,1,211,1,19,1
3,0,0,0,0,3,1,0,6,1,18,0,64,1,211,0,19,1
4,13,0,0,1,1,1,0,5,3,10,1,24,2,49,0,70,2
2,3,0,0,0,2,1,1,5,1,30,0,48,1,211,0,48,1
3,13,0,0,0,1,2,0,1,2,18,1,36,2,129,1,31,1
2,51,0,0,0,1,2,0,5,2,18,1,33,2,71,1,48,1
3,0,0,0,0,4,2,0,5,2,18,0,62,1,211,1,19,1
2,0,0,0,0,4,1,0,3,3,10,0,24,1,211,1,78,2
8,0,997,997,0,1,1,0,1,3,27,1,35,3,49,1,30,2
1,528,0,0,0,1,1,1,5,1,10,0,43,1,211,1,49,1
5,36,0,0,0,1,1,0,6,1,18,0,51,1,211,0,33,1
2,0,0,0,0,4,2,0,6,2,21,0,50,1,211,0,45,1
1,0,4,5,0,1,1,0,1,3,27,1,38,3,37,1,19,2
2,0,0,0,0,0,1,0,1,1,13,0,44,1,211,1,22,0
4,21,0,0,0,1,1,0,1,3,27,1,33,3,49,1,41,2
3,77,0,0,0,1,1,0,1,3,27,1,33,3,49,1,49,2
2,60,0,0,0,1,1,0,1,1,10,0,33,1,211,1,51,1
1,61,0,0,0,1,2,1,5,2,17,0,34,1,211,1,62,1
1,120,0,0,0,1,1,0,1,3,10,1,52,4,20,1,31,2
3,46,0,0,0,1,1,0,5,3,18,0,47,1,211,1,31,2
1,0,1,23,0,1,1,0,1,3,27,1,35,3,40,1,31,2
2,120,0,0,0,1,2,0,1,2,4,0,27,1,211,1,78,1
1,14,0,0,0,1,1,0,1,3,27,1,40,3,49,1,19,2
2,84,0,0,0,1,2,0,6,2,21,0,44,1,211,1,48,1
1,2,0,0,0,1,1,0,1,3,27,1,37,3,49,1,84,2
6,120,0,0,0,1,2,0,3,2,10,0,37,1,211,1,83,1
8,60,0,0,0,2,1,0,5,1,28,0,61,1,211,1,30,1
1,3,0,0,0,1,1,0,1,3,27,1,38,3,49,1,84,2
9,60,0,0,0,1,1,0,6,1,28,0,67,1,211,0,77,1
5,30,0,0,0,1,1,0,3,1,13,0,40,1,211,1,42,1
9,63,0,0,0,1,1,0,3,1,13,0,43,1,211,1,77,0
4,12,0,0,0,1,1,0,1,3,27,1,38,2,49,1,41,2
1,15,0,0,0,1,1,0,1,3,27,1,48,3,49,1,84,2
2,12,0,0,1,1,1,0,3,1,5,0,33,1,211,1,78,1
1,0,0,0,22,1,1,0,5,3,27,1,31,3,49,1,84,2
4,5,0,0,0,1,1,0,6,1,18,0,60,1,211,0,41,1
1,48,0,0,0,1,2,0,1,2,10,0,21,1,211,1,19,1
9,120,0,0,0,1,1,0,6,1,35,0,42,1,211,1,77,1
6,46,0,0,0,1,8,1,1,3,10,0,30,1,211,0,9,2
3,30,0,0,0,1,1,0,5,1,17,0,38,1,211,1,19,1
1,13,0,0,0,1,1,0,1,3,18,1,27,3,49,1,46,2
2,2,0,0,19,1,1,0,1,3,27,1,52,3,49,1,84,2
1,0,0,0,0,3,7,0,3,6,18,0,44,1,211,0,55,1
2,120,0,0,0,1,1,0,6,3,10,1,48,2,49,1,45,2
3,80,0,0,0,1,1,0,1,1,10,0,41,1,211,1,49,1
2,0,997,997,0,1,1,0,1,3,10,0,44,1,211,1,57,2
1,0,0,0,113,2,1,0,3,3,10,0,19,1,211,0,84,2
2,0,0,0,0,4,1,0,5,1,18,0,44,1,211,0,15,1
1,51,0,0,0,1,2,0,1,2,13,0,30,1,211,1,53,1
1,2,0,0,0,1,1,0,1,3,27,1,31,3,49,1,84,2
5,0,0,0,0,4,1,0,5,1,12,0,41,1,211,0,17,1
1,2,0,0,20,1,1,0,1,3,27,1,32,3,40,1,84,2
3,27,0,0,0,1,1,1,5,1,18,0,38,1,211,1,49,1
4,0,0,0,0,3,1,1,5,3,17,1,37,2,49,0,41,2
